origin,destination,origin_iso3,destination_iso3,n_researchers,phd_year_min,phd_year_max,phd_year_mean,origin_year_min,origin_year_max,origin_year_mean,route
CN,US,CHN,USA,3508,1980,2017,2011,1951,2012,2000,CN → US
IN,US,IND,USA,1916,1970,2016,2009,1957,2012,1998,IN → US
CA,US,CAN,USA,1029,1962,2016,2004,1948,2013,1995,CA → US
GB,US,GBR,USA,940,1959,2016,2000,1947,2014,1992,GB → US
US,GB,USA,GBR,786,1962,2016,2006,1954,2013,1997,US → GB
GB,AU,GBR,AUS,719,1965,2016,2000,1950,2014,1991,GB → AU
US,KR,USA,KOR,709,1970,2016,2000,1963,2014,1995,US → KR
US,CA,USA,CAN,616,1964,2016,2001,1953,2013,1993,US → CA
US,TW,USA,TWN,610,1966,2016,1997,1963,2013,1992,US → TW
KR,US,KOR,USA,562,1974,2017,2010,1956,2012,1997,KR → US
IT,GB,ITA,GBR,507,1987,2017,2011,1968,2013,2001,IT → GB
DE,US,DEU,USA,480,1968,2016,2004,1956,2013,1996,DE → US
US,AU,USA,AUS,468,1961,2016,2003,1953,2015,1994,US → AU
CN,GB,CHN,GBR,440,1971,2016,2009,1968,2012,1999,CN → GB
CN,AU,CHN,AUS,423,1986,2017,2010,1977,2012,1999,CN → AU
DE,GB,DEU,GBR,396,1982,2016,2008,1969,2013,1998,DE → GB
IR,US,IRN,USA,367,1989,2017,2014,1971,2012,2002,IR → US
US,CN,USA,CHN,345,1969,2016,2004,1957,2012,1999,US → CN
ES,GB,ESP,GBR,342,1990,2016,2010,1970,2012,2000,ES → GB
FR,US,FRA,USA,339,1968,2016,2007,1948,2013,2000,FR → US
IN,GB,IND,GBR,323,1969,2016,2010,1959,2012,1998,IN → GB
IT,US,ITA,USA,299,1969,2016,2009,1964,2010,1998,IT → US
RU,US,RUS,USA,294,1958,2016,2000,1955,2011,1988,RU → US
FR,GB,FRA,GBR,286,1974,2016,2008,1964,2013,2001,FR → GB
ES,US,ESP,USA,276,1985,2016,2009,1963,2010,1999,ES → US
BR,US,BRA,USA,271,1986,2016,2010,1972,2012,1999,BR → US
GR,GB,GRC,GBR,266,1980,2017,2011,1972,2012,1999,GR → GB
CA,GB,CAN,GBR,265,1969,2016,2008,1959,2011,1998,CA → GB
TW,US,TWN,USA,261,1972,2016,2008,1960,2012,1996,TW → US
DE,CH,DEU,CHE,253,1982,2017,2007,1964,2012,1998,DE → CH
IE,GB,IRL,GBR,238,1972,2016,2006,1965,2013,1997,IE → GB
AU,GB,AUS,GBR,235,1967,2016,2006,1958,2012,1996,AU → GB
GB,MY,GBR,MYS,229,1972,2016,2004,1969,2011,1996,GB → MY
JP,US,JPN,USA,227,1969,2016,2004,1954,2012,1996,JP → US
CN,CA,CHN,CAN,216,1985,2016,2009,1968,2012,1998,CN → CA
AU,US,AUS,USA,216,1968,2016,2003,1953,2013,1994,AU → US
NZ,AU,NZL,AUS,213,1957,2016,2006,1952,2011,1996,NZ → AU
CN,HK,CHN,HKG,213,1989,2016,2013,1977,2012,2002,CN → HK
US,DE,USA,DEU,209,1970,2016,2006,1964,2013,1998,US → DE
NL,GB,NLD,GBR,208,1975,2016,2007,1969,2012,1998,NL → GB
CN,SG,CHN,SGP,207,1987,2017,2009,1967,2011,2000,CN → SG
TR,US,TUR,USA,206,1975,2016,2011,1966,2012,1999,TR → US
IN,AU,IND,AUS,198,1968,2016,2008,1954,2012,1995,IN → AU
IN,SA,IND,SAU,198,1980,2016,2008,1976,2012,2000,IN → SA
IT,ES,ITA,ESP,189,1969,2017,2009,1964,2013,2000,IT → ES
US,BR,USA,BRA,188,1959,2016,1994,1954,2010,1989,US → BR
US,MX,USA,MEX,187,1961,2016,1998,1954,2011,1991,US → MX
PT,GB,PRT,GBR,186,1990,2016,2012,1977,2011,2001,PT → GB
DE,AT,DEU,AUT,185,1961,2016,2004,1958,2013,1995,DE → AT
GB,CA,GBR,CAN,183,1959,2016,1998,1952,2013,1990,GB → CA
IT,FR,ITA,FRA,178,1974,2016,2008,1968,2012,2000,IT → FR
US,ES,USA,ESP,178,1972,2016,2002,1965,2013,1995,US → ES
BR,PT,BRA,PRT,178,1990,2016,2012,1966,2014,1998,BR → PT
GB,IE,GBR,IRL,176,1964,2016,2001,1959,2014,1993,GB → IE
CN,DE,CHN,DEU,174,1993,2016,2012,1979,2012,2003,CN → DE
IT,DE,ITA,DEU,172,1989,2017,2010,1978,2012,2001,IT → DE
US,TR,USA,TUR,167,1971,2016,2003,1966,2011,1997,US → TR
ES,PT,ESP,PRT,165,1994,2016,2008,1974,2012,1999,ES → PT
CA,AU,CAN,AUS,164,1970,2016,2006,1965,2010,1994,CA → AU
MX,US,MEX,USA,160,1979,2016,2010,1963,2012,1995,MX → US
US,IT,USA,ITA,160,1971,2016,1997,1964,2012,1993,US → IT
IT,CH,ITA,CHE,159,1986,2016,2010,1974,2011,2001,IT → CH
GB,DE,GBR,DEU,158,1973,2016,2007,1967,2012,2001,GB → DE
GB,NZ,GBR,NZL,158,1966,2016,2001,1959,2012,1991,GB → NZ
IN,KR,IND,KOR,156,2001,2016,2013,1980,2011,2004,IN → KR
CO,US,COL,USA,154,1976,2017,2013,1960,2014,1997,CO → US
DE,SE,DEU,SWE,154,1985,2016,2007,1972,2011,1998,DE → SE
GB,PT,GBR,PRT,151,1977,2016,2002,1966,2012,1994,GB → PT
NL,US,NLD,USA,148,1974,2016,2005,1961,2013,1996,NL → US
GB,ES,GBR,ESP,148,1965,2016,2004,1958,2012,1997,GB → ES
US,IN,USA,IND,146,1968,2016,2002,1960,2011,1997,US → IN
IN,DE,IND,DEU,145,2000,2016,2013,1983,2012,2004,IN → DE
GR,US,GRC,USA,145,1974,2016,2006,1958,2012,1996,GR → US
IL,US,ISR,USA,144,1963,2016,2005,1955,2009,1994,IL → US
FR,CH,FRA,CHE,143,1986,2016,2007,1965,2013,2000,FR → CH
CN,JP,CHN,JPN,143,1989,2016,2012,1970,2012,2002,CN → JP
IN,CA,IND,CAN,140,1967,2016,2010,1958,2010,1999,IN → CA
US,SE,USA,SWE,137,1971,2016,2003,1967,2010,1994,US → SE
US,CH,USA,CHE,137,1963,2016,2005,1954,2013,1997,US → CH
RU,UA,RUS,UKR,135,1965,2016,1995,1952,2005,1976,RU → UA
US,JP,USA,JPN,134,1972,2016,2001,1964,2014,1995,US → JP
DE,AU,DEU,AUS,134,1985,2016,2008,1965,2013,1998,DE → AU
CO,ES,COL,ESP,134,1988,2016,2014,1974,2009,1998,CO → ES
US,FR,USA,FRA,132,1968,2016,2004,1962,2012,1997,US → FR
GB,CN,GBR,CHN,131,1975,2016,2003,1954,2012,1998,GB → CN
FR,CA,FRA,CAN,131,1976,2016,2007,1966,2011,1999,FR → CA
UA,RU,UKR,RUS,130,1967,2016,1998,1950,2012,1983,UA → RU
IR,CA,IRN,CAN,127,1989,2017,2014,1973,2010,2001,IR → CA
IN,MY,IND,MYS,126,1976,2016,2009,1960,2010,1996,IN → MY
GB,SE,GBR,SWE,126,1973,2016,2005,1966,2011,1996,GB → SE
IN,SG,IND,SGP,124,1989,2016,2011,1970,2010,2000,IN → SG
IR,AU,IRN,AUS,123,1997,2016,2014,1987,2010,2001,IR → AU
US,MY,USA,MYS,122,1982,2016,2005,1964,2010,1991,US → MY
CN,SE,CHN,SWE,122,1990,2016,2011,1978,2011,2000,CN → SE
US,SG,USA,SGP,117,1968,2016,2004,1958,2011,1996,US → SG
US,NZ,USA,NZL,116,1966,2016,2002,1962,2011,1994,US → NZ
US,QA,USA,QAT,115,1966,2015,2000,1956,2011,1994,US → QA
JP,KR,JPN,KOR,114,1986,2016,2001,1976,2010,1997,JP → KR
EG,SA,EGY,SAU,114,1988,2016,2006,1967,2011,1993,EG → SA
RU,DE,RUS,DEU,114,1983,2016,2005,1967,2015,1994,RU → DE
ES,FR,ESP,FRA,112,1981,2017,2009,1971,2011,2000,ES → FR
DE,DK,DEU,DNK,111,1975,2016,2006,1971,2011,1998,DE → DK
FR,AU,FRA,AUS,109,1975,2016,2008,1965,2010,2000,FR → AU
GB,BR,GBR,BRA,108,1964,2016,1996,1961,2010,1991,GB → BR
CO,BR,COL,BRA,107,1991,2016,2014,1972,2010,2002,CO → BR
CH,US,CHE,USA,106,1977,2016,2005,1969,2013,1997,CH → US
EG,US,EGY,USA,106,1977,2016,2011,1965,2013,1997,EG → US
JP,CN,JPN,CHN,106,1988,2016,2006,1964,2011,2001,JP → CN
CN,DK,CHN,DNK,105,1991,2016,2012,1978,2011,2002,CN → DK
US,SA,USA,SAU,105,1971,2016,2001,1967,2011,1995,US → SA
GB,FR,GBR,FRA,104,1969,2016,2003,1960,2011,1997,GB → FR
ES,DE,ESP,DEU,103,1990,2016,2011,1981,2011,2002,ES → DE
GB,SA,GBR,SAU,103,1968,2016,2002,1965,2012,1997,GB → SA
AR,US,ARG,USA,103,1963,2016,2001,1952,2011,1988,AR → US
RU,GB,RUS,GBR,103,1981,2017,2003,1964,2009,1990,RU → GB
ES,MX,ESP,MEX,103,1988,2016,2007,1978,2011,2000,ES → MX
NL,DE,NLD,DEU,101,1982,2016,2006,1966,2011,1999,NL → DE
GB,IT,GBR,ITA,98,1963,2016,1999,1956,2011,1994,GB → IT
PK,SA,PAK,SAU,96,1987,2016,2010,1972,2013,1999,PK → SA
PK,US,PAK,USA,95,1995,2016,2012,1972,2011,2000,PK → US
US,TH,USA,THA,94,1966,2016,2003,1959,2010,1996,US → TH
DE,FR,DEU,FRA,94,1988,2016,2003,1970,2010,1995,DE → FR
FR,ES,FRA,ESP,94,1976,2016,2005,1972,2011,1997,FR → ES
US,NL,USA,NLD,93,1970,2016,2006,1962,2016,1997,US → NL
BR,GB,BRA,GBR,93,1978,2016,2011,1966,2010,1999,BR → GB
US,CO,USA,COL,93,1974,2015,2003,1964,2008,1995,US → CO
IN,SE,IND,SWE,92,1984,2016,2012,1977,2012,2001,IN → SE
MX,ES,MEX,ESP,92,1997,2016,2014,1974,2013,2000,MX → ES
FR,DE,FRA,DEU,90,1985,2016,2009,1975,2013,2002,FR → DE
BD,US,BGD,USA,90,1977,2016,2013,1965,2012,2001,BD → US
PL,GB,POL,GBR,90,1978,2016,2009,1975,2010,1999,PL → GB
IT,DK,ITA,DNK,90,1994,2016,2010,1978,2011,2002,IT → DK
GB,CH,GBR,CHE,89,1968,2016,2002,1963,2010,1994,GB → CH
GR,CY,GRC,CYP,88,1982,2016,2004,1968,2008,1994,GR → CY
US,IL,USA,ISR,87,1958,2016,1995,1949,2012,1988,US → IL
BD,AU,BGD,AUS,87,1993,2016,2013,1972,2011,1997,BD → AU
US,DK,USA,DNK,87,1966,2016,2004,1963,2013,1995,US → DK
SE,US,SWE,USA,87,1977,2016,2009,1970,2012,2001,SE → US
IT,SE,ITA,SWE,87,1994,2016,2010,1978,2011,2001,IT → SE
NZ,GB,NZL,GBR,85,1974,2016,2005,1967,2011,1995,NZ → GB
NG,GB,NGA,GBR,85,1997,2016,2014,1974,2007,1998,NG → GB
IT,PT,ITA,PRT,85,2002,2016,2011,1969,2013,1999,IT → PT
GB,DK,GBR,DNK,84,1976,2016,2004,1969,2012,1997,GB → DK
PT,ES,PRT,ESP,84,1993,2017,2012,1978,2013,1999,PT → ES
CN,NL,CHN,NLD,84,1999,2016,2013,1978,2011,2003,CN → NL
AR,ES,ARG,ESP,84,1985,2016,2008,1968,2010,1994,AR → ES
IR,GB,IRN,GBR,82,1987,2016,2012,1971,2010,1998,IR → GB
DE,ES,DEU,ESP,82,1969,2016,2003,1965,2012,1996,DE → ES
ES,CO,ESP,COL,81,1983,2016,2008,1973,2013,2001,ES → CO
US,AE,USA,ARE,81,1976,2014,2001,1963,2008,1994,US → AE
GB,MX,GBR,MEX,81,1971,2014,1999,1966,2015,1993,GB → MX
US,PT,USA,PRT,81,1975,2016,2000,1971,2015,1993,US → PT
NG,US,NGA,USA,81,1979,2016,2012,1967,2007,1996,NG → US
PL,US,POL,USA,80,1961,2016,1998,1953,2008,1988,PL → US
GB,NL,GBR,NLD,80,1980,2016,2007,1977,2012,2000,GB → NL
AT,DE,AUT,DEU,79,1965,2016,2007,1962,2011,1999,AT → DE
RU,SE,RUS,SWE,79,1959,2016,1999,1954,2008,1988,RU → SE
GB,GR,GBR,GRC,78,1974,2016,1999,1970,2012,1992,GB → GR
PT,US,PRT,USA,77,1991,2016,2010,1963,2012,1998,PT → US
TR,GB,TUR,GBR,77,1994,2016,2012,1973,2010,2000,TR → GB
DE,NL,DEU,NLD,76,1985,2016,2007,1975,2012,1998,DE → NL
GB,SG,GBR,SGP,76,1969,2016,2001,1962,2010,1995,GB → SG
VE,ES,VEN,ESP,75,1980,2016,2010,1969,2009,1996,VE → ES
CH,GB,CHE,GBR,75,1990,2016,2008,1965,2011,2001,CH → GB
GB,IR,GBR,IRN,72,1974,2016,1997,1970,2010,1992,GB → IR
PK,GB,PAK,GBR,72,1995,2016,2013,1967,2013,1999,PK → GB
PR,US,PRI,USA,71,1982,2016,2011,1962,2010,1997,PR → US
US,JO,USA,JOR,71,1979,2015,2003,1975,2011,1998,US → JO
GB,TW,GBR,TWN,70,1981,2016,2001,1977,2011,1997,GB → TW
GB,QA,GBR,QAT,69,1972,2014,2003,1964,2011,1998,GB → QA
BE,GB,BEL,GBR,69,1986,2016,2008,1976,2013,2000,BE → GB
ZA,GB,ZAF,GBR,69,1967,2016,2006,1947,2010,1990,ZA → GB
IE,US,IRL,USA,69,1981,2016,2007,1969,2011,1995,IE → US
AU,NZ,AUS,NZL,68,1972,2016,2002,1963,2012,1994,AU → NZ
US,HK,USA,HKG,67,1974,2016,2002,1966,2012,1996,US → HK
CU,ES,CUB,ESP,67,1998,2016,2010,1979,2009,1995,CU → ES
SE,DK,SWE,DNK,66,1975,2016,2004,1966,2011,1997,SE → DK
FR,IT,FRA,ITA,66,1983,2016,2005,1970,2012,1999,FR → IT
FR,PT,FRA,PRT,65,1972,2016,2002,1934,2010,1993,FR → PT
CH,DE,CHE,DEU,65,1985,2016,2007,1973,2012,2000,CH → DE
ES,IT,ESP,ITA,65,1981,2016,2007,1977,2012,2000,ES → IT
BE,US,BEL,USA,65,1966,2016,2001,1952,2011,1992,BE → US
NZ,US,NZL,USA,65,1969,2016,2002,1955,2012,1994,NZ → US
ZA,AU,ZAF,AUS,65,1969,2017,2003,1957,2009,1987,ZA → AU
CA,CN,CAN,CHN,63,1979,2016,2004,1974,2010,1999,CA → CN
NL,AU,NLD,AUS,63,1981,2016,2008,1966,2011,1998,NL → AU
GB,ZA,GBR,ZAF,63,1973,2016,2003,1969,2010,1994,GB → ZA
ZA,US,ZAF,USA,62,1956,2016,2000,1954,2013,1987,ZA → US
US,IE,USA,IRL,62,1974,2016,2004,1957,2010,1993,US → IE
CN,FR,CHN,FRA,62,1988,2016,2012,1977,2011,2003,CN → FR
PK,CN,PAK,CHN,62,2008,2016,2015,1997,2011,2006,PK → CN
IR,MY,IRN,MYS,61,2006,2016,2015,1975,2009,2001,IR → MY
IN,QA,IND,QAT,61,1990,2014,2009,1985,2009,1999,IN → QA
NG,ZA,NGA,ZAF,61,1981,2016,2009,1969,2008,1995,NG → ZA
FR,BR,FRA,BRA,61,1980,2016,1999,1974,2009,1993,FR → BR
AU,MY,AUS,MYS,60,1980,2016,2006,1973,2009,1997,AU → MY
RO,US,ROU,USA,60,1976,2016,2004,1960,2007,1989,RO → US
IT,NL,ITA,NLD,60,1995,2016,2011,1985,2012,2003,IT → NL
PE,BR,PER,BRA,60,1974,2016,2009,1967,2008,1995,PE → BR
DE,IT,DEU,ITA,60,1980,2016,2002,1973,2012,1995,DE → IT
GB,TR,GBR,TUR,60,1976,2016,2000,1973,2009,1995,GB → TR
PT,BR,PRT,BRA,59,1993,2016,2009,1964,2010,1999,PT → BR
ES,SE,ESP,SWE,59,1991,2016,2011,1985,2012,2002,ES → SE
IN,JP,IND,JPN,58,1984,2016,2012,1979,2009,2003,IN → JP
IR,DE,IRN,DEU,57,2000,2016,2014,1984,2009,2003,IR → DE
ZW,ZA,ZWE,ZAF,57,1998,2016,2011,1981,2009,1998,ZW → ZA
JP,GB,JPN,GBR,57,1990,2016,2006,1979,2011,1998,JP → GB
ES,CH,ESP,CHE,57,1993,2016,2011,1973,2013,2001,ES → CH
UA,US,UKR,USA,57,1978,2016,2002,1966,2010,1991,UA → US
GB,PK,GBR,PAK,57,1974,2016,2004,1970,2010,1999,GB → PK
LK,AU,LKA,AUS,56,1978,2016,2009,1965,2012,1998,LK → AU
ES,CL,ESP,CHL,56,1993,2016,2010,1977,2012,2001,ES → CL
DE,CA,DEU,CAN,56,1970,2016,2006,1960,2013,1998,DE → CA
MX,GB,MEX,GBR,56,1991,2016,2012,1984,2009,1999,MX → GB
IT,AT,ITA,AUT,55,1988,2016,2009,1977,2013,2000,IT → AT
RO,GB,ROU,GBR,55,1995,2016,2008,1965,2010,1998,RO → GB
BE,FR,BEL,FRA,55,1975,2015,2000,1962,2011,1991,BE → FR
US,CL,USA,CHL,55,1977,2016,2001,1964,2011,1994,US → CL
IT,BE,ITA,BEL,55,1991,2016,2009,1969,2011,2002,IT → BE
US,ZA,USA,ZAF,54,1969,2016,2000,1964,2011,1992,US → ZA
IT,AU,ITA,AUS,54,1986,2016,2010,1976,2013,2000,IT → AU
BD,MY,BGD,MYS,54,1998,2016,2012,1974,2010,1999,BD → MY
LB,US,LBN,USA,54,1985,2016,2008,1973,2010,1998,LB → US
PH,US,PHL,USA,54,1979,2016,2010,1959,2007,1993,PH → US
NL,SE,NLD,SWE,53,1992,2016,2006,1974,2011,1996,NL → SE
JP,MY,JPN,MYS,53,1978,2016,2008,1965,2008,1998,JP → MY
GB,JO,GBR,JOR,53,1977,2013,2004,1973,2011,1999,GB → JO
HK,US,HKG,USA,52,1981,2016,2010,1973,2013,2003,HK → US
EG,QA,EGY,QAT,52,1985,2013,2006,1975,2012,1994,EG → QA
CL,US,CHL,USA,52,1975,2016,2011,1962,2010,1998,CL → US
US,CY,USA,CYP,52,1969,2016,2001,1965,2008,1992,US → CY
ES,NL,ESP,NLD,52,1986,2016,2011,1981,2011,2004,ES → NL
EG,GB,EGY,GBR,52,1992,2016,2010,1970,2008,1994,EG → GB
CO,MX,COL,MEX,52,2000,2016,2015,1952,2009,1999,CO → MX
GB,NO,GBR,NOR,52,1973,2016,2004,1959,2009,1996,GB → NO
SE,GB,SWE,GBR,52,1958,2016,2007,1949,2014,2000,SE → GB
VN,AU,VNM,AUS,52,1999,2016,2013,1981,2009,1999,VN → AU
IN,FR,IND,FRA,52,1981,2016,2012,1977,2010,2003,IN → FR
BR,ES,BRA,ESP,51,1985,2016,2013,1983,2010,2001,BR → ES
FR,SE,FRA,SWE,51,1981,2016,2009,1976,2011,2002,FR → SE
GB,KR,GBR,KOR,51,1980,2015,2000,1977,2010,1996,GB → KR
SG,US,SGP,USA,51,1993,2016,2012,1987,2010,2004,SG → US
CA,FR,CAN,FRA,51,1976,2016,2005,1965,2012,1999,CA → FR
CN,CH,CHN,CHE,50,2002,2016,2013,1988,2009,2004,CN → CH
IN,PT,IND,PRT,50,2002,2016,2011,1976,2010,2001,IN → PT
CH,FR,CHE,FRA,50,1986,2016,2003,1960,2012,1998,CH → FR
IN,NL,IND,NLD,50,1975,2016,2012,1964,2012,2003,IN → NL
IN,OM,IND,OMN,50,1983,2016,2008,1970,2010,1998,IN → OM
DE,CN,DEU,CHN,50,1983,2016,2006,1980,2011,2003,DE → CN
AT,GB,AUT,GBR,49,1985,2016,2010,1981,2010,1999,AT → GB
PK,KR,PAK,KOR,49,2015,2016,2016,1998,2012,2005,PK → KR
FR,MX,FRA,MEX,49,1974,2016,2001,1966,2008,1994,FR → MX
FR,BE,FRA,BEL,49,1991,2016,2009,1981,2013,2003,FR → BE
BR,CA,BRA,CAN,49,1991,2016,2010,1977,2012,2000,BR → CA
DK,US,DNK,USA,49,1974,2016,2006,1971,2011,1998,DK → US
JO,SA,JOR,SAU,49,1993,2016,2007,1979,2010,1998,JO → SA
VE,US,VEN,USA,49,1981,2016,2001,1963,2007,1990,VE → US
IR,SE,IRN,SWE,49,1986,2016,2013,1969,2010,1999,IR → SE
DE,NO,DEU,NOR,48,1990,2016,2005,1966,2009,1993,DE → NO
ES,DK,ESP,DNK,48,1995,2016,2008,1982,2012,2000,ES → DK
IN,IT,IND,ITA,48,2009,2017,2014,1966,2012,2003,IN → IT
FR,DK,FRA,DNK,48,1996,2016,2009,1982,2012,2002,FR → DK
ES,BR,ESP,BRA,48,1983,2016,2008,1979,2012,2001,ES → BR
GR,DE,GRC,DEU,47,1991,2016,2012,1978,2011,2001,GR → DE
GB,CY,GBR,CYP,47,1981,2014,2002,1975,2012,1996,GB → CY
PK,MY,PAK,MYS,47,1992,2017,2014,1985,2010,2003,PK → MY
AT,US,AUT,USA,47,1965,2016,2006,1956,2010,1997,AT → US
HK,CN,HKG,CHN,46,1994,2016,2009,1988,2011,2005,HK → CN
CN,SA,CHN,SAU,46,2002,2016,2012,1978,2011,2004,CN → SA
DK,GB,DNK,GBR,45,1985,2016,2008,1974,2011,2000,DK → GB
IQ,GB,IRQ,GBR,45,1984,2016,2013,1963,2010,1996,IQ → GB
SG,AU,SGP,AUS,45,2001,2016,2012,1982,2014,2001,SG → AU
PK,AU,PAK,AUS,45,1986,2016,2014,1975,2012,2001,PK → AU
HU,US,HUN,USA,44,1974,2016,2001,1963,2008,1988,HU → US
GB,AE,GBR,ARE,44,1980,2016,2003,1972,2013,1995,GB → AE
DK,SE,DNK,SWE,44,1995,2016,2008,1963,2011,1996,DK → SE
PT,DE,PRT,DEU,44,1988,2016,2010,1971,2009,2000,PT → DE
IN,TW,IND,TWN,44,1998,2016,2012,1992,2011,2003,IN → TW
IN,DK,IND,DNK,44,1982,2017,2012,1973,2009,2002,IN → DK
JO,US,JOR,USA,44,1990,2016,2011,1980,2009,2000,JO → US
AU,CA,AUS,CAN,43,1975,2016,2002,1960,2013,1994,AU → CA
IN,ZA,IND,ZAF,43,1973,2016,2008,1965,2011,2000,IN → ZA
KR,GB,KOR,GBR,43,1998,2016,2012,1987,2011,2000,KR → GB
RU,PT,RUS,PRT,43,1977,2016,2000,1964,2003,1985,RU → PT
BD,GB,BGD,GBR,43,1989,2016,2010,1979,2011,1997,BD → GB
GB,EG,GBR,EGY,42,1964,2013,1998,1960,2012,1994,GB → EG
CA,SE,CAN,SWE,42,1982,2016,2006,1966,2011,1996,CA → SE
SD,SA,SDN,SAU,42,1991,2012,2003,1966,2012,1994,SD → SA
FI,SE,FIN,SWE,42,1972,2016,2005,1964,2011,1995,FI → SE
IR,TR,IRN,TUR,42,2010,2016,2015,1992,2013,2003,IR → TR
NL,BE,NLD,BEL,42,1978,2016,2009,1962,2012,2001,NL → BE
LK,US,LKA,USA,42,1982,2016,2013,1970,2009,2001,LK → US
US,AT,USA,AUT,42,1991,2016,2005,1981,2010,1998,US → AT
BR,DE,BRA,DEU,41,2004,2016,2014,1980,2009,2002,BR → DE
CL,ES,CHL,ESP,41,2002,2016,2013,1981,2006,1998,CL → ES
GB,JP,GBR,JPN,41,1979,2016,2006,1976,2012,1998,GB → JP
NP,US,NPL,USA,41,2007,2016,2015,1984,2011,2001,NP → US
HU,GB,HUN,GBR,40,1979,2016,2008,1972,2011,1997,HU → GB
RU,FR,RUS,FRA,40,1971,2016,2003,1957,2011,1989,RU → FR
VN,US,VNM,USA,40,2011,2016,2015,1991,2010,2002,VN → US
GB,HK,GBR,HKG,40,1981,2016,2004,1961,2011,1995,GB → HK
PE,US,PER,USA,40,1981,2016,2008,1960,2004,1990,PE → US
PE,ES,PER,ESP,39,1994,2016,2013,1980,2008,1997,PE → ES
GB,IN,GBR,IND,39,1972,2016,2002,1961,2012,1999,GB → IN
SE,NO,SWE,NOR,39,1983,2016,2006,1970,2011,1995,SE → NO
BE,NL,BEL,NLD,38,1968,2016,2006,1965,2012,1997,BE → NL
CA,SA,CAN,SAU,38,1974,2010,2000,1970,2011,1997,CA → SA
CN,NZ,CHN,NZL,38,1988,2016,2011,1977,2012,1999,CN → NZ
IR,PT,IRN,PRT,38,2011,2016,2016,1991,2009,2003,IR → PT
US,GR,USA,GRC,38,1978,2016,1994,1969,2002,1987,US → GR
BR,FR,BRA,FRA,38,1989,2016,2010,1979,2012,2000,BR → FR
IE,AU,IRL,AUS,38,1973,2016,2004,1966,2012,1996,IE → AU
IN,CH,IND,CHE,38,2000,2016,2013,1974,2010,2002,IN → CH
IN,IL,IND,ISR,38,2008,2016,2013,1996,2010,2004,IN → IL
IT,BR,ITA,BRA,38,1983,2016,2007,1968,2010,1998,IT → BR
IN,BE,IND,BEL,37,2007,2016,2015,1996,2010,2004,IN → BE
GB,AT,GBR,AUT,37,1975,2016,2005,1973,2009,2000,GB → AT
GR,SE,GRC,SWE,37,1996,2016,2012,1988,2009,2001,GR → SE
AU,CN,AUS,CHN,37,1988,2016,2004,1975,2011,1998,AU → CN
ID,MY,IDN,MYS,37,1982,2016,2010,1971,2009,1997,ID → MY
NL,DK,NLD,DNK,37,1987,2016,2004,1978,2009,1996,NL → DK
BR,AU,BRA,AUS,37,2004,2016,2013,1979,2007,2000,BR → AU
DE,PT,DEU,PRT,37,1992,2016,2004,1971,2011,1995,DE → PT
ID,AU,IDN,AUS,37,1996,2016,2013,1982,2008,1998,ID → AU
JP,AU,JPN,AUS,37,1981,2016,2005,1977,2009,1998,JP → AU
ES,AU,ESP,AUS,36,1985,2016,2009,1966,2010,1998,ES → AU
RU,AU,RUS,AUS,36,1966,2016,1995,1962,2007,1985,RU → AU
CN,KR,CHN,KOR,36,2009,2016,2014,1994,2011,2005,CN → KR
US,EG,USA,EGY,36,1968,2014,2002,1963,2009,1995,US → EG
US,IR,USA,IRN,36,1978,2012,1991,1971,2013,1984,US → IR
CU,EC,CUB,ECU,36,1995,2016,2007,1973,2012,1994,CU → EC
ES,EC,ESP,ECU,36,1991,2015,2009,1975,2012,2000,ES → EC
GB,TH,GBR,THA,36,1972,2014,2003,1965,2010,1998,GB → TH
US,NO,USA,NOR,36,1976,2016,2001,1962,2011,1991,US → NO
IN,IE,IND,IRL,36,1983,2016,2011,1979,2009,2001,IN → IE
EC,ES,ECU,ESP,35,1990,2016,2013,1973,2007,1997,EC → ES
IQ,MY,IRQ,MYS,35,1982,2016,2013,1968,2012,1996,IQ → MY
PT,SE,PRT,SWE,35,2003,2016,2012,1988,2009,2000,PT → SE
CA,NZ,CAN,NZL,35,1970,2016,2002,1963,2013,1993,CA → NZ
RU,IL,RUS,ISR,35,1975,2016,1994,1965,2007,1982,RU → IL
RU,FI,RUS,FIN,35,1974,2016,2007,1954,2009,1997,RU → FI
GR,DK,GRC,DNK,35,1979,2016,2009,1969,2007,2000,GR → DK
AU,SG,AUS,SGP,35,1983,2016,2006,1976,2012,1999,AU → SG
IN,AE,IND,ARE,35,1991,2015,2009,1974,2010,1998,IN → AE
ES,CA,ESP,CAN,34,1971,2016,2009,1968,2010,1999,ES → CA
IT,CA,ITA,CAN,34,1990,2016,2012,1981,2010,2001,IT → CA
CO,AR,COL,ARG,34,2007,2016,2015,1985,2008,2001,CO → AR
NG,MY,NGA,MYS,34,2006,2016,2014,1985,2009,2002,NG → MY
DE,NZ,DEU,NZL,34,1994,2016,2007,1984,2009,1998,DE → NZ
DE,IN,DEU,IND,34,1994,2012,2007,1990,2010,2003,DE → IN
FR,CO,FRA,COL,34,1985,2016,2006,1974,2011,1998,FR → CO
CO,GB,COL,GBR,34,2007,2016,2014,1985,2008,1999,CO → GB
AR,BR,ARG,BRA,34,1975,2016,2005,1954,2007,1991,AR → BR
CH,AU,CHE,AUS,33,1977,2012,2001,1971,2010,1994,CH → AU
