iso3,IndicatorCode,Year,Value,IndicatorName
COL,SP.POP.SCIE.RD.P6,2006,176.28238,Investigadores por millón hab.
COM,NY.GDP.PCAP.CD,2006,640.742983808889,PIB per cápita (USD)
COM,SP.POP.TOTL,2006,633814.0,Población total
ZAR,NY.GDP.PCAP.CD,2006,246.802813626618,PIB per cápita (USD)
ZAR,SP.POP.TOTL,2006,57926840.0,Población total
ZAR,GB.XPD.RSDV.GD.ZS,2006,0.0611,Gasto I+D (% PIB)
COG,NY.GDP.PCAP.CD,2006,2144.83494288074,PIB per cápita (USD)
COG,SP.POP.TOTL,2006,3604595.0,Población total
CRI,NY.GDP.PCAP.CD,2006,5228.02541286506,PIB per cápita (USD)
CRI,SP.POP.TOTL,2006,4308790.0,Población total
CRI,GB.XPD.RSDV.GD.ZS,2006,0.43047,Gasto I+D (% PIB)
CIV,NY.GDP.PCAP.CD,2006,962.918442738785,PIB per cápita (USD)
CIV,SP.POP.TOTL,2006,18486392.0,Población total
